Estacion;Mes;Frecuencia de días con Precipitación superior a 1.0 mm;Humedad (%);Nubosidad (octavos);Precipitación (mm);Temp Media (°C);Temp Máx (°C);Temp Mín (°C);Velocidad del Viento (km/h) (2011-2020)
AEROPARQUE AERO;Ene;6.7;67.0;3.1;117.5;24.5;28.4;20.8;16.8
AEROPARQUE AERO;Feb;6.0;69.8;3.2;112.3;23.7;27.3;20.2;15.8
AEROPARQUE AERO;Mar;5.9;71.3;3.1;111.8;22.0;25.5;18.8;14.9
AEROPARQUE AERO;Abr;6.6;73.6;3.5;108.3;18.5;22.0;15.3;13.9
AEROPARQUE AERO;May;5.0;76.4;4.0;83.3;15.2;18.4;12.3;12.9
AEROPARQUE AERO;Jun;4.5;76.3;4.2;54.6;12.3;15.5;9.4;12.2
AEROPARQUE AERO;Jul;5.0;75.5;4.1;64.3;11.3;14.4;8.4;13.2
AEROPARQUE AERO;Ago;5.0;73.6;3.9;61.5;12.9;16.5;9.7;14.0
AEROPARQUE AERO;Sep;5.5;71.1;3.8;72.6;14.7;18.3;11.5;16.6
AEROPARQUE AERO;Oct;7.5;70.6;3.9;104.7;17.7;21.1;14.3;17.2
AEROPARQUE AERO;Nov;6.8;67.0;3.5;103.2;20.6;24.5;16.8;17.1
AEROPARQUE AERO;Dic;6.6;65.1;3.2;112.8;23.2;27.4;19.2;15.9
AZUL AERO*;Ene;6.5;65.5;3.3;103.8;21.6;29.5;14.0;
AZUL AERO*;Feb;5.8;72.1;3.4;101.6;20.3;27.9;13.3;
AZUL AERO*;Mar;7.3;76.6;3.4;113.9;17.8;25.1;11.3;
AZUL AERO*;Abr;6.0;77.9;3.5;90.6;14.0;21.1;7.9;
AZUL AERO*;May;4.6;81.4;4.1;55.7;10.5;17.1;5.2;
AZUL AERO*;Jun;3.4;80.5;4.2;37.1;7.5;13.8;2.4;
AZUL AERO*;Jul;4.3;79.7;4.2;40.8;6.9;13.2;1.8;
AZUL AERO*;Ago;4.0;75.3;4.0;59.2;8.6;15.6;3.0;
AZUL AERO*;Sep;4.9;73.1;3.9;67.5;10.7;17.6;4.4;
AZUL AERO*;Oct;7.1;74.1;4.0;92.0;14.0;20.6;7.6;
AZUL AERO*;Nov;6.9;69.5;3.6;97.9;17.2;24.4;10.1;
AZUL AERO*;Dic;5.9;63.5;3.2;75.4;20.3;28.1;12.5;
BAHÍA BLANCA AERO;Ene;5.6;53.0;3.1;66.2;23.6;31.2;16.3;21.6
BAHÍA BLANCA AERO;Feb;5.2;59.4;2.9;69.4;22.1;29.6;15.2;18.6
BAHÍA BLANCA AERO;Mar;6.0;65.3;3.1;70.6;19.6;27.0;13.4;18.0
BAHÍA BLANCA AERO;Abr;5.1;69.9;3.5;53.2;15.1;22.0;9.4;15.9
BAHÍA BLANCA AERO;May;4.2;75.2;4.0;41.5;11.4;17.7;6.4;15.5
BAHÍA BLANCA AERO;Jun;4.0;73.4;4.1;32.6;8.4;14.5;3.5;17.4
BAHÍA BLANCA AERO;Jul;3.8;72.3;4.0;32.4;7.6;13.9;2.4;16.6
BAHÍA BLANCA AERO;Ago;3.5;67.0;3.9;31.7;9.6;16.5;4.1;18.8
BAHÍA BLANCA AERO;Sep;4.5;65.2;3.8;45.0;11.8;18.9;5.6;18.3
BAHÍA BLANCA AERO;Oct;6.7;64.9;3.8;69.5;15.0;22.1;8.5;18.3
BAHÍA BLANCA AERO;Nov;5.8;58.1;3.5;62.3;18.7;26.0;11.6;19.2
BAHÍA BLANCA AERO;Dic;5.3;52.0;3.2;64.7;22.0;29.7;14.5;20.5
BARILOCHE AERO;Ene;2.5;51.9;2.8;23.6;15.4;23.2;7.0;22.2
BARILOCHE AERO;Feb;2.5;53.3;2.7;17.5;15.0;23.1;6.6;18.9
BARILOCHE AERO;Mar;4.1;60.2;3.3;29.4;12.1;20.1;4.9;17.9
BARILOCHE AERO;Abr;6.2;68.2;4.0;57.1;8.1;15.0;2.4;16.9
BARILOCHE AERO;May;10.2;76.0;4.9;113.7;5.2;10.6;1.0;16.1
BARILOCHE AERO;Jun;13.3;79.1;5.4;168.3;3.0;7.2;-0.5;19.1
BARILOCHE AERO;Jul;11.6;78.0;5.0;126.4;2.1;6.7;-1.6;17.0
BARILOCHE AERO;Ago;11.4;74.9;4.9;117.3;3.1;8.4;-1.0;18.5
BARILOCHE AERO;Sep;6.5;66.9;4.1;55.4;5.2;11.6;-0.1;19.1
BARILOCHE AERO;Oct;6.0;61.5;4.0;48.7;7.9;14.7;1.7;20.5
BARILOCHE AERO;Nov;4.0;56.6;3.7;30.1;10.9;17.9;3.9;23.7
BARILOCHE AERO;Dic;3.5;53.6;3.3;25.0;13.5;20.7;5.9;24.7
BASE BELGRANO II;Ene;;;5.4;;-2.6;0.7;-6.1;
BASE BELGRANO II;Feb;;;5.0;;-7.1;-3.5;-11.1;
BASE BELGRANO II;Mar;;;4.8;;-12.3;-9.1;-16.5;
BASE BELGRANO II;Abr;;;4.4;;-16.4;-13.2;-20.5;
BASE BELGRANO II;May;;;4.0;;-17.5;-14.1;-21.6;
